Component,Agent,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality
0,2553,0.6666666666666666,0.75,0.6666666666666666,0.6015008315175003
0,5225,0.3333333333333333,0.5,0.0,0.37174823427120085
0,2982,0.3333333333333333,0.5,0.0,0.3717482342712008
0,87,0.6666666666666666,0.75,0.6666666666666666,0.6015008315175004
1,837,1.0,0.0,0.0,1.0
2,1185,1.0,1.0,0.0,0.7071067811865476
2,6255,1.0,1.0,0.0,0.7071067811865476
3,13737,1.0,1.0,0.0,0.7071067811865476
3,1388,1.0,1.0,0.0,0.7071067811865476
4,2041,1.0,1.0,0.0,0.7071067811865476
4,7988,1.0,1.0,0.0,0.7071067811865476
5,3056,1.0,1.0,0.0,0.7071067811865476
5,4647,1.0,1.0,0.0,0.7071067811865476
6,3421,1.0,1.0,0.0,0.7071067811865476
6,8677,1.0,1.0,0.0,0.7071067811865476
7,3649,1.0,1.0,0.0,0.7071067811865476
7,3989,1.0,1.0,0.0,0.7071067811865476
8,3994,1.0,1.0,0.0,0.7071067811865476
8,3413,1.0,1.0,0.0,0.7071067811865476
9,4360,1.0,0.0,0.0,1.0
10,4664,1.0,1.0,0.0,0.7071067811865476
10,4215,1.0,1.0,0.0,0.7071067811865476
11,5297,1.0,1.0,0.0,0.7071067811865476
11,4774,1.0,1.0,0.0,0.7071067811865476
12,4845,0.5,0.6666666666666666,0.0,0.5000000644180599
12,24492,1.0,1.0,1.0,0.707106690085642
12,17149,0.5,0.6666666666666666,0.0,0.5000000644180599
13,6418,1.0,1.0,0.0,0.7071067811865476
13,3422,1.0,1.0,0.0,0.7071067811865476
14,7552,1.0,1.0,0.0,0.7071067811865476
14,18315,1.0,1.0,0.0,0.7071067811865476
15,8410,0.5,0.6666666666666666,0.0,0.408248290463863
15,21053,0.5,0.6666666666666666,0.0,0.408248290463863
15,30621,2.0,1.0,1.0,0.816496580927726
16,12010,1.0,1.0,0.0,0.7071067811865476
16,9763,1.0,1.0,0.0,0.7071067811865476
17,10215,1.0,1.0,0.0,0.7071067811865476
17,9183,1.0,1.0,0.0,0.7071067811865476
18,10600,1.0,1.0,0.0,0.7071067811865476
18,30282,1.0,1.0,0.0,0.7071067811865476
19,27593,1.0,1.0,0.0,0.7071067811865476
19,12783,1.0,1.0,0.0,0.7071067811865476
20,14843,1.0,0.0,0.0,1.0
21,15345,1.0,1.0,0.0,0.7071067811865476
21,11625,1.0,1.0,0.0,0.7071067811865476
22,15511,1.0,0.0,0.0,1.0
23,15614,1.0,1.0,0.0,0.7071067811865476
23,19119,1.0,1.0,0.0,0.7071067811865476
24,17297,1.0,1.0,0.0,0.7071067811865476
24,24593,1.0,1.0,0.0,0.7071067811865476
25,18537,1.0,1.0,0.0,0.7071067811865476
25,15171,1.0,1.0,0.0,0.7071067811865476
26,2476,1.0,1.0,0.0,0.7071067811865476
26,19238,1.0,1.0,0.0,0.7071067811865476
27,24184,1.0,1.0,0.0,0.7071067811865476
27,19921,1.0,1.0,0.0,0.7071067811865476
28,21194,1.0,0.0,0.0,1.0
29,29657,1.0,1.0,0.0,0.7071067811865476
29,13042,1.0,1.0,0.0,0.7071067811865476
30,22205,1.0,1.0,0.0,0.7071067811865476
30,30495,1.0,1.0,0.0,0.7071067811865476
31,3122,1.0,1.0,0.0,0.7071067811865476
31,30630,1.0,1.0,0.0,0.7071067811865476
