ClientID,Agent_1,Agent_2,Pattern
48106,8410,30621,out-in-out
49079,4360,4360,in-out-in
86663,21194,21194,in-out-in
109426,15511,15511,in-out-in
170415,17149,24492,out-in-out
178531,4845,24492,out-in-out
244027,15614,19119,out-in-out
287623,21053,30621,out-in-out
332243,10215,9183,out-in-out
336172,8410,30621,out-in-out
362105,19921,24184,out-in-out
363278,17297,24593,out-in-out
416478,18537,15171,out-in-out
442030,3989,3649,out-in-out
442030,1185,6255,out-in-out
442030,1388,13737,out-in-out
442030,4664,4215,out-in-out
442030,6418,3422,out-in-out
442030,30630,3122,out-in-out
442030,3056,4647,out-in-out
442030,5225,2553,out-in-out
442030,2553,87,in-out-in
442030,87,2982,out-in-out
442030,9763,12010,out-in-out
442030,3994,3413,out-in-out
442030,4774,5297,out-in-out
442030,3421,8677,out-in-out
442030,2041,7988,out-in-out
442030,7552,18315,out-in-out
465023,30495,22205,out-in-out
466373,10600,30282,out-in-out
482495,19238,2476,out-in-out
518677,29657,13042,out-in-out
545083,14843,14843,in-out-in
554051,15345,11625,out-in-out
578830,8410,30621,out-in-out
578830,30621,30621,in-out-in
594695,837,837,in-out-in
597240,8410,30621,out-in-out
653740,8410,30621,out-in-out
680364,12783,27593,out-in-out
